Size,Attempt,Time_ns,RecursiveCalls,MaxDepth,ExtraMemory
1000,1,303500,1999,11,8000
1000,2,325500,1999,11,8000
1000,3,343300,1999,11,8000
1000,4,363300,1999,11,8000
1000,5,421000,1999,11,8000
1000,6,420200,1999,11,8000
1000,7,281800,1999,11,8000
1000,8,273900,1999,11,8000
1000,9,276000,1999,11,8000
1000,10,275200,1999,11,8000
1000,11,344000,1999,11,8000
1000,12,278100,1999,11,8000
1000,13,276500,1999,11,8000
1000,14,344400,1999,11,8000
1000,15,287700,1999,11,8000
1000,16,275600,1999,11,8000
1000,17,274000,1999,11,8000
1000,18,274600,1999,11,8000
1000,19,290200,1999,11,8000
1000,20,273200,1999,11,8000
2000,1,640900,3999,12,16000
2000,2,597100,3999,12,16000
2000,3,800900,3999,12,16000
2000,4,594000,3999,12,16000
2000,5,666400,3999,12,16000
2000,6,606700,3999,12,16000
2000,7,702700,3999,12,16000
2000,8,708200,3999,12,16000
2000,9,593800,3999,12,16000
2000,10,601800,3999,12,16000
2000,11,699700,3999,12,16000
2000,12,600200,3999,12,16000
2000,13,866700,3999,12,16000
2000,14,604200,3999,12,16000
2000,15,585900,3999,12,16000
2000,16,602200,3999,12,16000
2000,17,744900,3999,12,16000
2000,18,750700,3999,12,16000
2000,19,600600,3999,12,16000
2000,20,626800,3999,12,16000
4000,1,1322300,7999,13,32000
4000,2,1318700,7999,13,32000
4000,3,1443900,7999,13,32000
4000,4,1875900,7999,13,32000
4000,5,1442100,7999,13,32000
4000,6,1330900,7999,13,32000
4000,7,1456000,7999,13,32000
4000,8,1432800,7999,13,32000
4000,9,1355400,7999,13,32000
4000,10,1321100,7999,13,32000
4000,11,1344000,7999,13,32000
4000,12,1316300,7999,13,32000
4000,13,1320800,7999,13,32000
4000,14,1298500,7999,13,32000
4000,15,1386500,7999,13,32000
4000,16,1324200,7999,13,32000
4000,17,1747800,7999,13,32000
4000,18,1310400,7999,13,32000
4000,19,1310500,7999,13,32000
4000,20,1638700,7999,13,32000
8000,1,2816000,15999,14,64000
8000,2,2781100,15999,14,64000
8000,3,2761700,15999,14,64000
8000,4,3230400,15999,14,64000
8000,5,2809800,15999,14,64000
8000,6,3021200,15999,14,64000
8000,7,3078400,15999,14,64000
8000,8,2805100,15999,14,64000
8000,9,2898700,15999,14,64000
8000,10,2745500,15999,14,64000
8000,11,2918200,15999,14,64000
8000,12,2873500,15999,14,64000
8000,13,2853800,15999,14,64000
8000,14,2859100,15999,14,64000
8000,15,2785900,15999,14,64000
8000,16,2759900,15999,14,64000
8000,17,2853300,15999,14,64000
8000,18,2814300,15999,14,64000
8000,19,2795500,15999,14,64000
8000,20,2877200,15999,14,64000
16000,1,6232000,31999,15,128000
16000,2,7066500,31999,15,128000
16000,3,6117600,31999,15,128000
16000,4,6051100,31999,15,128000
16000,5,6038600,31999,15,128000
16000,6,6114300,31999,15,128000
16000,7,5991700,31999,15,128000
16000,8,6110900,31999,15,128000
16000,9,6012200,31999,15,128000
16000,10,6123800,31999,15,128000
16000,11,6094400,31999,15,128000
16000,12,6307700,31999,15,128000
16000,13,6053700,31999,15,128000
16000,14,6126000,31999,15,128000
16000,15,6075100,31999,15,128000
16000,16,6095000,31999,15,128000
16000,17,6507800,31999,15,128000
16000,18,6269400,31999,15,128000
16000,19,6017900,31999,15,128000
16000,20,6075300,31999,15,128000
32000,1,14071100,63999,16,256000
32000,2,12896200,63999,16,256000
32000,3,12973600,63999,16,256000
32000,4,12956600,63999,16,256000
32000,5,12983500,63999,16,256000
32000,6,13184700,63999,16,256000
32000,7,13100600,63999,16,256000
32000,8,13241700,63999,16,256000
32000,9,13171100,63999,16,256000
32000,10,12916500,63999,16,256000
32000,11,13175900,63999,16,256000
32000,12,13414900,63999,16,256000
32000,13,12887200,63999,16,256000
32000,14,12995600,63999,16,256000
32000,15,12958800,63999,16,256000
32000,16,13210600,63999,16,256000
32000,17,13124800,63999,16,256000
32000,18,12855400,63999,16,256000
32000,19,18862800,63999,16,256000
32000,20,12977200,63999,16,256000
64000,1,27893000,127999,17,512000
64000,2,27292000,127999,17,512000
64000,3,27925100,127999,17,512000
64000,4,27347100,127999,17,512000
64000,5,27843800,127999,17,512000
64000,6,27461600,127999,17,512000
64000,7,28315700,127999,17,512000
64000,8,27868400,127999,17,512000
64000,9,27476300,127999,17,512000
64000,10,27485700,127999,17,512000
64000,11,27294700,127999,17,512000
64000,12,33643600,127999,17,512000
64000,13,27809200,127999,17,512000
64000,14,27696800,127999,17,512000
64000,15,27603900,127999,17,512000
64000,16,27175100,127999,17,512000
64000,17,27516800,127999,17,512000
64000,18,27598500,127999,17,512000
64000,19,27647500,127999,17,512000
64000,20,27269800,127999,17,512000
128000,1,61266800,255999,18,1024000
128000,2,59212500,255999,18,1024000
128000,3,58881300,255999,18,1024000
128000,4,58534100,255999,18,1024000
128000,5,58210300,255999,18,1024000
128000,6,58849500,255999,18,1024000
128000,7,58965200,255999,18,1024000
128000,8,57979800,255999,18,1024000
128000,9,58518000,255999,18,1024000
128000,10,59619900,255999,18,1024000
128000,11,64637700,255999,18,1024000
128000,12,58435000,255999,18,1024000
128000,13,57895800,255999,18,1024000
128000,14,57554900,255999,18,1024000
128000,15,58268700,255999,18,1024000
128000,16,57881500,255999,18,1024000
128000,17,57727200,255999,18,1024000
128000,18,57684900,255999,18,1024000
128000,19,57723900,255999,18,1024000
128000,20,58016400,255999,18,1024000
