Size,Attempt,Time_ns,Iterations,Swaps
1000,1,2484100,253443,253435
1000,2,3391000,249483,249480
1000,3,2790900,245093,245087
1000,4,2462200,251669,251661
1000,5,3509200,252382,252378
1000,6,2531300,254261,254254
1000,7,2515400,257794,257788
1000,8,3134700,245375,245370
1000,9,3701600,254660,254652
1000,10,4873300,253050,253044
1000,11,2591600,239860,239855
1000,12,2726000,255609,255600
1000,13,3224000,252213,252206
1000,14,2646200,254822,254815
1000,15,3406800,250544,250538
1000,16,2493700,254791,254783
1000,17,2512000,248406,248397
1000,18,3050700,244625,244622
1000,19,2556500,247127,247124
1000,20,2544600,247341,247337
2000,1,11345500,998346,998339
2000,2,10847500,980937,980935
2000,3,13235800,1000572,1000567
2000,4,12905400,1019251,1019245
2000,5,11203300,1000667,1000661
2000,6,10038300,1002259,1002252
2000,7,10277300,1006041,1006032
2000,8,10428900,1022672,1022666
2000,9,9781600,1002224,1002220
2000,10,10385400,1015954,1015947
2000,11,10399900,1022253,1022245
2000,12,10036800,1012389,1012385
2000,13,10481500,1010272,1010267
2000,14,10091700,1020552,1020543
2000,15,11215300,992433,992426
2000,16,10312700,1002376,1002368
2000,17,10935000,978983,978974
2000,18,11284000,991834,991826
2000,19,9956500,981126,981122
2000,20,10238700,1015712,1015703
4000,1,45707100,3998329,3998320
4000,2,44101600,3988343,3988338
4000,3,39855800,4060729,4060721
4000,4,41029600,3972120,3972111
4000,5,44817800,3991829,3991822
4000,6,41347100,4019743,4019739
4000,7,41660300,3977721,3977713
4000,8,41190000,3961921,3961914
4000,9,42797500,4115841,4115835
4000,10,40239500,4034780,4034773
4000,11,40578800,3968838,3968830
4000,12,41406600,3987217,3987208
4000,13,43509100,4048426,4048421
4000,14,41747800,4003754,4003748
4000,15,41431100,4054002,4053995
4000,16,40888500,4040887,4040878
4000,17,42266300,4069347,4069344
4000,18,43331800,4000730,4000721
4000,19,43051900,4016519,4016514
4000,20,49479700,4070922,4070917
8000,1,169880300,15925584,15925577
8000,2,160996300,16191340,16191334
8000,3,168468100,16176219,16176215
8000,4,163690200,15868290,15868284
8000,5,163901500,15889428,15889422
8000,6,163866700,15924506,15924498
8000,7,163023100,16162335,16162331
8000,8,163027500,16107628,16107620
8000,9,167191600,15899924,15899914
8000,10,157383500,15891328,15891313
8000,11,161326200,16029528,16029514
8000,12,168684600,16078277,16078267
8000,13,162493200,16065036,16065025
8000,14,162253900,16110292,16110283
8000,15,163794400,16173600,16173592
8000,16,162425100,16063858,16063847
8000,17,160954100,16011444,16011435
8000,18,160754100,15870814,15870804
8000,19,161447300,15941204,15941194
8000,20,161392000,16004848,16004841
16000,1,666451500,64407486,64407475
16000,2,648575700,64091006,64090999
16000,3,647125300,64072331,64072325
16000,4,654250800,64161904,64161896
16000,5,650557700,64217842,64217833
16000,6,642382500,63841760,63841752
16000,7,661238900,64194820,64194816
16000,8,654470300,63978715,63978701
16000,9,648912700,63681897,63681888
16000,10,650720300,64047952,64047943
16000,11,638915600,63575164,63575150
16000,12,646097300,63653888,63653881
16000,13,653854800,64248211,64248206
16000,14,641264600,63317555,63317546
16000,15,658931100,64103543,64103536
16000,16,636416400,63911468,63911458
16000,17,645874200,63867631,63867619
16000,18,651045700,64166079,64166076
16000,19,651060200,63824752,63824743
16000,20,651390800,64368993,64368984
32000,1,2602593100,256281748,256281740
32000,2,2600877600,256898642,256898638
32000,3,2584820100,255116537,255116525
32000,4,2584354300,256292133,256292125
32000,5,2594530800,255808435,255808429
32000,6,2575759100,254578015,254578004
32000,7,2606486400,255148375,255148366
32000,8,2665450300,256594408,256594401
32000,9,2584846200,254431057,254431045
32000,10,2640646900,256022761,256022753
32000,11,2583977100,256017041,256017034
32000,12,2620176400,256619483,256619478
32000,13,2668149500,255557828,255557815
32000,14,2732295600,256131566,256131555
32000,15,2655523800,255709017,255709006
32000,16,3717104500,256539609,256539599
32000,17,2859756600,256240231,256240223
32000,18,2665285200,256958507,256958492
32000,19,2591080800,257137887,257137873
32000,20,2602910500,256468239,256468224
64000,1,10389321100,1025564208,1025564201
64000,2,10306575100,1019441899,1019441888
64000,3,10333512500,1015793105,1015793090
64000,4,10430958300,1025256715,1025256699
64000,5,10439305700,1025099427,1025099418
64000,6,10432565900,1026441653,1026441641
64000,7,10398203600,1025554054,1025554042
64000,8,10414624600,1024715707,1024715695
